,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
60,,"Büşra Gümüşsoy","2021-01-10 15:45:26",1,no,no,🇹🇷❤️,UC4YASvMVfeqAil56sk77Zcg,UgypAsYYSnQTAQGGvl94AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgypAsYYSnQTAQGGvl94AaABAg
61,,"Patron Kutusha","2021-01-10 17:00:54",3,no,no,"Mega tolle Message",UCJQytph5b8FMzcQyqeeUVXQ,UgyWuxY32IDIfTEts1p4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgyWuxY32IDIfTEts1p4AaABAg
62,,"Yigit Soylu","2021-01-12 22:26:52",1,no,no,😭😭😭👍👍👍👍👍👍👍👍👍,UCrvUMg57sDjdCPP7Pvsmx4A,Ugxls6dQ6mRuXnzhFpd4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugxls6dQ6mRuXnzhFpd4AaABAg
63,,"Walter Withe","2021-01-14 12:47:00",6,no,no,"Immer werden wir Deutschen rassistisch dargestellt. Nicht jeder von uns ist so...",UChr_JvT-sCGba_Z2beMxLgw,Ugxiz61uLfDk1o7nK9p4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=Ugxiz61uLfDk1o7nK9p4AaABAg
64,,"Gxülo Zülfikar","2021-01-15 18:51:31",2,no,no,❤,UCNvgJ_CaRkR8Q7k6xz_eVvg,UgwqBwVlJ4lulJbRppJ4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwqBwVlJ4lulJbRppJ4AaABAg
65,,"M. Nikoo","2021-01-16 10:22:19",2,no,no,"Die Kommentare der beleidigten braunen Gesellschaft beweisen doch wie real dieses Video ist ;)",UCIlHhpKKbdDh39_eaX4QuTg,UgxQ29Q6RLGuYRF4luF4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgxQ29Q6RLGuYRF4luF4AaABAg
66,,"Düzceudujdid djjdjdjririr","2021-01-16 13:17:15",1,no,no,"Ist auch wie im echten leben unsere nachberin die ein bisschen älter ist ihr man ist im kranken haus ich wurde sofort von meinen eltern hingeschickt damit ich sage wenn sie was brauchen geben sie bitte bescheid sei es beim Einkauf oder wenn sie irgendwo hingefahren werden müssen. Bei meinem cousin war das so das der mann seiner nachberin gestorben ist und erst ist direkt hin und hat das gleiche gemacht🇹🇷",UCP8I4vQ2Y1QFk-K2-CmtPvA,UgyiEwXfv3ojqOL1e8V4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgyiEwXfv3ojqOL1e8V4AaABAg
67,,"Te Es","2021-01-17 01:32:03",2,no,no,"Ob die Clan-Mitglieder sich von dem Spot beeinflussen lassen frage ich mich.",UCIlHTFJNB_8x3HpZsCDMhpQ,UgwdPnW5s0htTQngSCB4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwdPnW5s0htTQngSCB4AaABAg
68,,"Ha llo","2021-01-17 06:09:46",4,no,no,"Schöne Werbung mit Message !",UCn5SdJSkq_sloxLEkVz_zeg,UgwV83MnYQFqI90b4nx4AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwV83MnYQFqI90b4nx4AaABAg
69,,Advertisements,"2021-01-17 16:22:10",2,no,no,"Hallo ich bin Turken von Frankreich",UCm8x3MRRqJ3O1VK0zbSpfdg,UgwAHlAbSbOLh7sxoF14AaABAg,https://www.youtube.com/watch?v=Sjo5ue9ZTuw&lc=UgwAHlAbSbOLh7sxoF14AaABAg
